Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087037
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087037
1,M022,NEW EXPLORATIONS - M,SCA IEH,PO18-ABATE PIPE INSULATION GYM CEILING APPROX 25LF OUTSIDE ELECTRIC RM ABOUT 12 LF,Construction,Complete,10/3/2023,IEH,10/4/2023,IEH,21534.00,16034.00,SCA0000072396
1,M022,NEW EXPLORATIONS - M,Fast Track Projects,LSP- VACUUM PUMPS REPLACEMENTS,Construction,In-Progress,2/8/2024,FTK,,FTK,186188.00,0.00,DSF0001068167
1,M022,NEW EXPLORATIONS - M,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,4/14/2023,DIIR,,DIIR,50000.00,,DSF0001033717
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY21 RESO A BATHROOM UPGRADES,Construction,In-Progress,8/6/2021,DOER,,DOER,80736.00,87851.00,DSF0000961298
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY22 RESO A HYDROPONICS LAB,Construction,In-Progress,8/16/2022,DOER,,DOER,189971.00,,DSF0001033234
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,125000.00,,DSF0001035621
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Scope,Complete,10/23/2018,3/13/2019,1/24/2020,118770,254088.00,253238.00,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295"
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Design,Complete,1/24/2020,6/24/2020,5/5/2021,586080,542660.00,503235.00,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295"
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Construction,In-Progress,8/13/2021,8/11/2024,,12514695,11811339.00,11058653.00,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295"
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,"CM,F&E",In-Progress,8/13/2021,8/11/2024,,889665,903098.00,888910.00,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295"
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/25/2020,10/26/2020,7/21/2020,3482,4450.00,4450.00,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/21/2020,1/15/2021,3/30/2021,15667,17800.00,17800.00,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/24/2022,3/19/2023,,201929,188076.00,168904.00,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/24/2022,3/19/2023,,234839,254364.00,249023.00,DSF0000960787
1,M025,I.S. 378 - MANHATTAN,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,2/1/2019,EMER,,EMER,,0.00,SCA0000056151
1,M025,I.S. 378 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,3/22/2024,DOES,,DOES,582294.00,,DSF0001085731
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,Scope,Complete,10/19/2018,12/30/2019,3/31/2020,284717,339501.00,329310.00,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069"
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,Design,Complete,12/7/2020,5/10/2021,5/18/2021,1412815,1131136.00,958311.00,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069"
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,Construction,In-Progress,7/5/2022,12/20/2024,,30857060,28459221.00,22558915.00,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069"
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,"CM,F&E",In-Progress,7/5/2022,12/20/2024,,2073759,500437.00,491004.00,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069"
1,M034,P.S. 34 - MANHATTAN,SCA Furniture & Equipment,FY20 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,140000,140000.00,0.00,DSF0000913873
1,M034,P.S. 34 - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.00,,DSF0001007798
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,12/1/2022,DOER,,DOER,34574.00,,DSF0001007800
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY23 RESO A ROOM CONVERSION,Construction,In-Progress,3/15/2024,DOER,,DOER,91750.00,,DSF0001035626
1,M034,P.S. 34 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,5/25/2022,DOES,,DOES,92365.00,91122.00,DSF0001008949
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,4/30/2021,7/30/2021,7/22/2021,27380,42273.00,42273.00,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,8/2/2021,2/7/2022,2/1/2022,136900,160063.00,140316.00,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,PNS,PNS,PNS,PNS,3080255,3080255.00,98417.00,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",PNS,PNS,PNS,PNS,191660,191660.00,23764.00,DSF0000992308
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,51.00,51.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,97850,202.00,202.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,1435137,1793921.00,0.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,97850,122313.00,344.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,J.H.S. 292 - MANHATTAN,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,75000.00,,DSF0000913568
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY20 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,120291.00,,DSF0000913081
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY21 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,8669.00,,DSF0001007786
1,M056,MANHATTAN CHARTER SCHOOL II,Trust For Public Land,TPL- EXTREME WEATHER PLAYGROUND UPGRADE,Construction,In-Progress,2/10/2024,TPL,,TPL,2940000.00,298624.00,DSF0001034698
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,5/16/2022,9/16/2022,8/2/2022,53927,77782.00,77782.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,8/8/2022,2/13/2023,5/8/2023,259893,198038.00,181092.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Construction,PNS,PNS,PNS,PNS,5005043,5005043.00,510255.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,PNS,PNS,PNS,450541,450541.00,75473.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA IEH,"PO18-ABATE AND REPLACE FLOOR TILES IN ROOMS RMS:117, 202, 203, 205, 207, 206, 208, 209, 210, 211, 30",Construction,Complete,9/5/2023,IEH,10/17/2023,IEH,869632.00,12870.00,SCA0000072271
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA IEH,PO18-ABATE AND REPAIR PIPE INSULATION DUE TO STEAM LEAK LOCATED IN THE ART GALLARY DOWN IN THE BASEM,Construction,Complete,1/19/2024,IEH,1/20/2024,IEH,762.00,762.00,SCA0000072665
1,M060,EAST SIDE COMMUNITY SCHOOL,Fast Track Projects,COVID VENTILATION,Construction,In-Progress,11/3/2020,FTK,,FTK,278312.00,178108.00,DSF0000961040
1,M060,EAST SIDE COMMUNITY SCHOOL,Fast Track Projects,ROOF,Construction,In-Progress,5/16/2019,FTK,,FTK,1767085.00,1630567.00,DSF0000912294
1,M060,EAST SIDE COMMUNITY SCHOOL,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,53000.00,,DSF0001086193
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,1/31/2022,DOER,,DOER,38764.00,39445.00,DSF0000961294
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,1750000.00,,DSF0001035641
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,ACE BOILER CONTROLS UPGRADE,Construction,In-Progress,6/5/2023,DOES,,DOES,60921.00,,DSF0000866117
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Scope,Complete,4/9/2019,8/22/2019,9/20/2019,22622,11776.00,11776.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Design,Complete,10/23/2019,3/27/2020,6/8/2020,113110,117941.00,114637.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Construction,In-Progress,10/18/2021,4/10/2023,,2544967,2337552.00,1700745.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,"CM,F&E",In-Progress,10/18/2021,4/10/2023,,158354,516944.00,434243.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,7/7/2022,11/4/2022,7/27/2022,3838,2320.00,2320.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,7/27/2022,1/25/2023,9/21/2022,17271,9280.00,9280.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,6/5/2023,4/29/2024,,222607,202505.00,137925.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,6/5/2023,4/29/2024,,117815,95599.00,45645.00,DSF0001034584
1,M061,M094 SPED - MANHATTAN,SCA Furniture & Equipment,FY23 RESO A MOBILE SCIENCE LAB,F&E,Complete,5/1/2023,,10/9/2023,75000,75000.00,75000.00,DSF0001035643
1,M061,P.S. 361 - MANHATTAN,DIIT - RESOA,FY20 RESO A TECHNOLOGY,Purch & Install,Complete,3/14/2021,DIIR,5/26/2023,DIIR,80000.00,80000.00,DSF0000913571
1,M061,M094 SPED - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,11/27/2023,DIIR,3/13/2024,DIIR,70000.00,70000.00,DSF0001035644
1,M061,P.S. 361 - MANHATTAN,DOE - RESOA,FY22 RESO A HYDROPONICS LAB,Construction,In-Progress,7/29/2022,DOER,,DOER,219727.00,,DSF0001033207
1,M061,P.S. 361 - MANHATTAN,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,100000.00,,DSF0001035645
1,M061,P.S. 315 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,5/31/2022,DOES,,DOES,72044.00,71075.00,DSF0001008951
1,M063,P.S. 363 - MANHATTAN,Fast Track Projects,LSP FY23 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,11/29/2023,FTK,,FTK,108253.00,0.00,DSF0001035647
1,M063,P.S. 63 - MANHATTAN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,10/25/2023,DOEL,,DOEL,95707.00,95707.00,
1,M063,P.S. 63 - MANHATTAN,DOE - RESOA,FY22 RESO A BATHROOM UPGRADES,Construction,In-Progress,10/7/2022,DOER,,DOER,202779.00,,DSF0001033635
1,M063,P.S. 363 - MANHATTAN,DOE - RESOA,FY23 RESO A BATHROOM UPGRADES,Construction,In-Progress,3/15/2024,DOER,,DOER,192110.00,,DSF0001035646
1,M063,P.S. 363 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,7/27/2022,DOES,,DOES,94774.00,93499.00,DSF0001009098
1,M063,P.S. 63 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,10/24/2023,DOES,,DOES,65832.00,,DSF0001084198
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,6/20/2019,11/5/2019,12/23/2019,111561,221114.00,217051.00,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270"
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,1/8/2020,6/9/2020,6/30/2020,551747,705427.00,663602.00,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270"
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,5/24/2021,5/23/2023,,11889967,11362530.00,6685101.00,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270"
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,5/24/2021,5/23/2023,,826395,479318.00,464078.00,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270"
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A PLAYGROUND UPGRADE,Scope,Complete,12/2/2019,3/4/2020,2/11/2020,0,27695.00,27695.00,DSF0000913307
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A PLAYGROUND UPGRADE,Design,Complete,2/11/2020,6/25/2020,1/2/2024,75083,117323.00,78818.00,DSF0000913307
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,1101213,1101213.00,24575.00,DSF0000913307
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,75083,75083.00,25677.00,DSF0000913307
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE,Scope,Complete,3/18/2020,6/17/2020,12/4/2020,0,18840.00,18840.00,DSF0000913306
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE,Design,Complete,12/4/2020,5/24/2021,1/2/2024,2100,15280.00,15280.00,DSF0000913306
